# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
1327.5133209153726,8.601032108778042e-13,8.601032108778042e-13
1335.1427078171848,1.829986181335824e-12,1.829986181335824e-12
1342.7720947189973,1.867807511175114e-12,1.867807511175114e-12
1350.4014816208098,2.6058294505189675e-12,2.6058294505189675e-12
1358.0308685226223,1.9421880524760027e-12,1.9421880524760027e-12
1365.6602554244348,1.4080915536819027e-12,1.4080915536819027e-12
1373.2896423262473,1.0214413224072673e-12,1.0214413224072673e-12
1380.9190292280598,1.2985782819630003e-12,1.2985782819630003e-12
1388.5484161298723,1.091669844827131e-12,1.091669844827131e-12
1396.1778030316848,8.9836849252765e-13,8.9836849252765e-13
1403.8071899334973,9.359535861034688e-13,9.359535861034688e-13
1411.4365768353098,1.2992208418785197e-12,1.2992208418785197e-12
1419.0659637371223,1.2323127046363186e-12,1.2323127046363186e-12
1426.6953506389348,1.0470225213393467e-12,1.0470225213393467e-12
1434.3247375407473,1.3647780716490393e-12,1.3647780716490393e-12
1441.9541244425598,2.2069396550355614e-12,2.2069396550355614e-12
1449.5835113443723,2.892927919843116e-12,2.892927919843116e-12
1457.2128982461847,1.5932618429094446e-12,1.5932618429094446e-12
1464.8422851479972,2.11221251140182e-12,2.11221251140182e-12
1472.4716720498097,2.2603780854166037e-12,2.2603780854166037e-12
1480.1010589516222,1.994713144370131e-12,1.994713144370131e-12
1487.7304458534347,2.1263429155397083e-12,2.1263429155397083e-12
1495.3598327552472,1.6879509262689163e-12,1.6879509262689163e-12
1502.9892196570597,2.1745177167203185e-12,2.1745177167203185e-12
1510.618606558872,1.7608193301090649e-12,1.7608193301090649e-12
1518.2479934606845,1.6361883639779542e-12,1.6361883639779542e-12
1525.877380362497,1.6173239464129083e-12,1.6173239464129083e-12
1533.5067672643095,1.0050866505662855e-12,1.0050866505662855e-12
1541.136154166122,1.5894977395746667e-12,1.5894977395746667e-12
1548.7655410679345,2.1877613613861992e-12,2.1877613613861992e-12
1556.394927969747,2.135887764471233e-12,2.135887764471233e-12
1564.0243148715595,1.7059907371753101e-12,1.7059907371753101e-12
1571.653701773372,1.5230560074533978e-12,1.5230560074533978e-12
1579.2830886751844,1.7525172797088599e-12,1.7525172797088599e-12
1586.912475576997,1.435401816692447e-12,1.435401816692447e-12
1594.5418624788094,1.915680010376402e-12,1.915680010376402e-12
1602.171249380622,1.912276954309729e-12,1.912276954309729e-12
1609.8006362824344,1.0202607139195433e-12,1.0202607139195433e-12
1617.430023184247,1.5965984812300449e-12,1.5965984812300449e-12
1625.0594100860594,1.525133843886231e-12,1.525133843886231e-12
1632.688796987872,1.3649167938091696e-12,1.3649167938091696e-12
1640.3181838896844,9.800933193707845e-13,9.800933193707845e-13
1647.947570791497,1.043958260858003e-12,1.043958260858003e-12
1655.5769576933094,8.49004713653277e-13,8.49004713653277e-13
1663.206344595122,8.227652588038605e-13,8.227652588038605e-13
1670.8357314969344,1.0287997485551353e-12,1.0287997485551353e-12
1678.4651183987469,1.7390077259182508e-12,1.7390077259182508e-12
1686.0945053005594,1.8884150530589132e-12,1.8884150530589132e-12
1693.7238922023716,1.3824777098714269e-12,1.3824777098714269e-12
1701.3532791041841,1.2197969414579275e-12,1.2197969414579275e-12
1708.9826660059966,1.022776113022849e-12,1.022776113022849e-12
1716.6120529078091,1.3826881543287032e-12,1.3826881543287032e-12
1724.2414398096216,1.4167884721926908e-12,1.4167884721926908e-12
1731.8708267114341,8.682341569566852e-13,8.682341569566852e-13
1739.5002136132466,1.1358935252054436e-12,1.1358935252054436e-12
1747.129600515059,1.6350766689552622e-12,1.6350766689552622e-12
1754.7589874168716,1.5943760547052867e-12,1.5943760547052867e-12
1762.388374318684,1.302324259132259e-12,1.302324259132259e-12
