scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
5.550147021341967246e+00,6.119720256484695309e-01,2.258726012589905574e-01,6.846435111382377370e-01,2.526949015880546323e-01,1.061450000000000449e-01
5.602506898901797427e+00,5.975301930137215667e-01,2.272994447567823206e-01,6.684867154222122743e-01,2.542911823022551698e-01,1.061450000000000726e-01
5.654866776461627609e+00,5.901324128148338621e-01,2.384173313407424444e-01,6.602104511524060637e-01,2.667293144198359944e-01,1.061450000000001004e-01
5.707226654021456902e+00,5.706064847153895503e-01,2.449989832048763694e-01,6.383658252349537765e-01,2.740925353719299018e-01,1.061450000000000726e-01
5.759586531581287083e+00,5.344181689245445233e-01,2.538646326216189020e-01,5.978801583305397571e-01,2.840109778673486352e-01,1.061450000000000726e-01
5.811946409141117265e+00,5.139387146614423640e-01,2.578494435023851450e-01,5.749687753175205529e-01,2.884689837863916861e-01,1.061450000000000726e-01
5.864306286700946558e+00,4.737497954537569500e-01,2.589592441653983390e-01,5.300074345992995539e-01,2.897105729289407572e-01,1.061450000000000726e-01
5.916666164260776739e+00,4.556139654379113280e-01,2.617765166864316484e-01,5.097179804754813359e-01,2.928623956753966806e-01,1.061450000000000865e-01
5.969026041820606920e+00,4.064732209529136053e-01,2.691089535978203329e-01,4.547417880449441951e-01,3.010655571628735871e-01,1.061450000000000726e-01
6.021385919380436214e+00,3.598618293722513628e-01,2.403586221619788132e-01,4.025953083802757959e-01,2.689011329152701801e-01,1.061450000000000587e-01
6.073745796940266395e+00,3.699602982959357966e-01,2.420442167326156968e-01,4.138929673111811369e-01,2.707868913108006370e-01,1.061450000000000726e-01
6.126105674500096576e+00,3.227576282391440565e-01,2.273718013766135027e-01,3.610849950373876682e-01,2.543721312479244601e-01,1.061450000000000726e-01
6.178465552059925869e+00,3.380187202512693334e-01,2.337230014153381663e-01,3.781583369240753556e-01,2.614775342928530311e-01,1.061450000000000726e-01
6.230825429619756051e+00,3.133189717677191122e-01,2.285133456921601691e-01,3.505255010798385973e-01,2.556492335917572301e-01,1.061450000000000726e-01
6.283185307179586232e+00,3.145132545103476729e-01,2.254296549249591719e-01,3.518616045223751931e-01,2.521993555162293510e-01,1.061450000000000865e-01
