comp_x_unit,comp_y_unit,comp_z_unit,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
-10.0,-80.0,-120.0,25.836511972675495,0.3827969737114731,184.7672918063825,193.5846068260594,184.66152125635472,0.7129234903550073
0.0,-80.0,-120.0,25.806017329481598,0.3836211532572541,184.8493548618067,196.65960439297135,184.39071682874885,0.7127435223310206
10.0,-80.0,-120.0,25.866916860971788,0.38197521997373546,185.46887794448918,200.18741219167603,184.66184086737718,0.7113744886495177
20.0,-80.0,-120.0,26.01865416346843,0.37787421179815056,186.62073264229284,204.14455662593602,185.47251681162152,0.7088298122827716
30.0,-80.0,-120.0,26.259678830881324,0.37136003159780206,188.29542599720065,208.50659461993044,186.8157207312755,0.7051343903657334
40.0,-80.0,-120.0,26.58747988488782,0.36250054365168055,190.47947566545076,213.24868112136122,188.6800798501384,0.7003239944291701
50.0,-80.0,-120.0,26.99864092194687,0.35138808319062514,193.15592302266765,218.3460556089805,191.0503377441749,0.6944444216580951
60.0,-80.0,-120.0,27.488914674573078,0.33813744122775463,196.3049409180166,223.77444000600246,193.90794355072714,0.6875504340322184
70.0,-80.0,-120.0,28.053313951061238,0.32288340672807464,199.90448911662543,229.51034835057,197.23171548202046,0.6797045299786729
80.0,-80.0,-120.0,28.686215391358722,0.3057779623957102,203.93097280707713,235.53131426627755,200.99852887991338,0.6709755980062002
90.0,-80.0,-120.0,29.381472178522664,0.28698723841830637,208.3598665346882,241.81604578687495,205.18398483263275,0.6614375035572847
100.0,-80.0,-120.0,30.132531775249184,0.2666883303986707,213.16627562558725,248.34451876375286,209.76302498702375,0.651167659140494
110.0,-80.0,-120.0,30.932554894264978,0.24506608393878437,218.32541764339152,255.09802037648194,214.71046940383565,0.6402456240485894
120.0,-80.0,-120.0,31.77453222605828,0.22230993983626268,223.81301610612613,262.05915362757315,220.00146520313027,0.6287517741565803
-120.0,-70.0,-120.0,30.45332912624871,0.2580181317230078,210.22096598443835,185.13508581573618,213.77372503128316,0.6574225700381208
-110.0,-70.0,-120.0,29.593505924009357,0.28125659664839575,205.0157462720962,182.414363469547,208.32490137681418,0.6686090346034477
-100.0,-70.0,-120.0,28.778921317114538,0.3032723968347422,200.17471227274973,180.208212909401,203.22235003455708,0.6790977214751656
-90.0,-70.0,-120.0,28.01679762046407,0.3238703345820521,195.72457347770356,178.53571071357126,198.49277713175542,0.688804826538555
-80.0,-70.0,-120.0,27.314189577078395,0.34285974116004336,191.69220283637017,177.4119499921017,194.16344041396007,0.697649088766579
-70.0,-70.0,-120.0,26.677863260254906,0.3600577497228404,188.10409262356146,176.84739183827395,190.26166354075147,0.705553306883756
-60.0,-70.0,-120.0,26.114171276264052,0.3752926682090797,184.98571521405958,176.84739183827395,186.81423830426525,0.7124458811921656
-50.0,-70.0,-120.0,25.62892791614153,0.38840735361779644,182.3608082445606,177.4119499921017,183.84672597876605,0.7182623291707421
