time_s,value,kept
28695.62725,836019798.0,1
28701.639404,836006331.0,1
28707.661869,836006331.0,1
28713.677957,836087664.0,1
28719.699236,836080631.0,1
28725.712151,836037564.0,1
28731.713012,836078931.0,1
28737.729978,835952831.0,1
28743.755404,836023498.0,1
28749.765327,836030731.0,1
28755.782987,836046898.0,1
28761.803126,836055031.0,1
28767.818148,836022498.0,1
28773.844987,836009998.0,1
28779.857427,836004231.0,1
28785.879112,835934998.0,1
28791.884754,835943331.0,1
28797.890125,835978831.0,1
28803.912107,835955331.0,1
28809.920073,836037264.0,1
28815.93261,835987164.0,1
28821.952346,836070698.0,1
28827.965134,836111964.0,1
28833.96121,835988964.0,1
28839.974812,836061964.0,1
28846.004056,836003331.0,1
28852.022561,835955931.0,1
28858.024816,835953431.0,1
28864.025593,836054531.0,1
28870.02839,836014364.0,1
28876.046671,835945098.0,1
28882.167323,836019398.0,1
28888.17504,836048664.0,1
28894.18752,836062264.0,1
28900.200577,835980631.0,1
28906.213723,836049098.0,1
